,subject,to_drop,s1_asrt_type,s2_asrt_type,s1_sequence_type,s2_sequence_type,is_changing_seq,is_changing_task,group,condition
0,2,0,perceptuo,motoros,4,4,0,1,1,2
1,3,0,perceptuo,motoros,3,3,0,1,1,2
2,4,0,motoros,perceptuo,5,5,0,1,1,1
3,5,0,perceptuo,motoros,4,4,0,1,1,2
4,6,0,perceptuo,motoros,2,2,0,1,1,2
5,7,0,motoros,perceptuo,3,3,0,1,1,1
6,8,0,motoros,perceptuo,2,2,0,1,1,1
7,9,0,perceptuo,motoros,6,6,0,1,1,2
9,11,0,motoros,perceptuo,1,2,1,1,2,3
11,13,0,motoros,perceptuo,6,2,1,1,2,3
12,14,0,motoros,perceptuo,4,4,0,1,1,1
14,16,0,perceptuo,motoros,6,6,0,1,1,2
15,17,0,perceptuo,motoros,6,6,0,1,1,2
17,19,0,motoros,perceptuo,5,5,0,1,1,1
18,20,0,motoros,motoros,,3,0,0,3,5
19,21,0,perceptuo,motoros,1,1,0,1,1,2
20,22,0,motoros,perceptuo,1,1,0,1,1,1
21,23,0,motoros,perceptuo,1,1,0,1,1,1
22,24,0,perceptuo,perceptuo,,3,0,0,3,6
23,25,0,motoros,perceptuo,6,4,1,1,2,3
24,26,0,perceptuo,perceptuo,,2,0,0,3,6
25,27,0,motoros,motoros,,4,0,0,3,5
26,28,0,perceptuo,motoros,6,3,1,1,2,4
27,29,0,motoros,perceptuo,4,6,1,1,2,3
28,30,0,motoros,perceptuo,3,3,0,1,1,1
29,31,0,motoros,perceptuo,6,6,0,1,1,1
30,32,0,motoros,perceptuo,3,3,0,1,1,1
31,33,0,perceptuo,motoros,1,1,0,1,1,2
32,34,0,motoros,motoros,,1,0,0,3,5
33,35,0,perceptuo,perceptuo,,5,0,0,3,6
34,36,0,perceptuo,motoros,3,1,1,1,2,4
35,37,0,motoros,motoros,,1,0,0,3,5
37,39,0,motoros,perceptuo,2,2,0,1,1,1
38,40,0,motoros,perceptuo,4,4,0,1,1,1
39,41,0,perceptuo,perceptuo,,3,0,0,3,6
40,42,0,perceptuo,motoros,3,2,1,1,2,4
41,43,0,motoros,perceptuo,1,2,1,1,2,3
42,44,0,motoros,perceptuo,3,6,1,1,2,3
43,45,0,perceptuo,motoros,5,5,0,1,1,2
44,46,0,motoros,motoros,,4,0,0,3,5
45,47,0,perceptuo,motoros,2,2,0,1,1,2
46,48,0,motoros,motoros,,2,0,0,3,5
47,49,0,motoros,perceptuo,1,3,1,1,2,3
48,50,0,motoros,perceptuo,6,6,0,1,1,1
51,53,0,motoros,perceptuo,3,4,1,1,2,3
59,61,0,perceptuo,motoros,1,5,1,1,2,4
60,62,0,perceptuo,motoros,1,2,1,1,2,4
62,64,0,perceptuo,perceptuo,,6,0,0,3,6
63,65,0,perceptuo,perceptuo,,5,0,0,3,6
64,66,0,motoros,perceptuo,2,2,0,1,1,1
65,67,0,perceptuo,perceptuo,,3,0,0,3,6
66,68,0,motoros,perceptuo,1,1,0,1,1,1
67,69,0,motoros ,perceptuo,1,1,0,1,1,1
68,70,0,perceptuo,motoros,3,4,1,1,2,4
69,71,0,motoros,perceptuo,5,1,1,1,2,3
70,72,0,motoros,perceptuo,6,6,0,1,1,1
72,74,0,motoros,motoros,,6,0,0,3,5
73,75,0,perceptuo,perceptuo,,4,0,0,3,6
74,76,0,motoros,perceptuo,6,3,1,1,2,3
75,77,0,perceptuo,motoros,2,2,0,1,1,2
76,78,0,motoros,motoros,,4,0,0,3,5
77,79,0,perceptuo,motoros,1,5,1,1,2,4
78,80,0,motoros,motoros,,2,0,0,3,5
79,81,0,perceptuo,motoros,6,4,1,1,2,4
80,82,0,perceptuo,motoros,6,2,1,1,2,4
81,83,0,motoros,motoros,,3,0,0,3,5
82,84,0,perceptuo,motoros,1,3,1,1,2,4
83,85,0,motoros,motoros,,4,0,0,3,5
84,86,0,perceptuo,motoros,3,4,1,1,2,4
85,87,0,perceptuo,motoros,4,6,1,1,2,4
86,88,0,perceptuo,perceptuo,,2,0,0,3,6
87,89,0,perceptuo,motoros,6,6,0,1,1,2
